1986,ישראל בוך,תל אביב,די לעצטע היים.,"אלטערמאן, ישראל-בער"
1982,ניי לעבן,תל אביב,בלאנדזשערס,"אלטערמאן, ישראל בער"
1980,העברעישער אוניווערזיטעט,ירושלים,בריוו פון יידישע סאוועטישע שרייבערס,"אלטשולער, מרדכי (רעד)"
1910,אברהם יוסף קליינמאן,פיעטרקוב - ווארשע,ספר נפלאות אלימלך.,אלימלך פון ליזענסק
1952,יידיש בוך,ווארשע,אן א מאסקע.,"אליצקי, ל"
1947,דאס נייע לעבן,לאדזש,דער מענטש וועט גוט זיין,"אליצקי, ל"
1955,יידיש בוך,ווארשע,צווישן לעבן און טויט. פראזע שאפונג,"אליצקי, ל."
1962,תור אריה,תל אביב,Shparunes in hartsn : lider,"אליצקי, לייב"
1964,אליצקי קאמיטעט אין ישראל,תל אביב,Fun eygenem feldz,"אליצקי, לייב"
1970,שקדיה,תל אביב,אין שיין און שאטן פון אייגענעם בוים. לידער און פאעמעס,"אליצקי, לייב"
1951,יידיש בוך,ווארשע,מענטשן אין קלעם. דערציילונגען,"אליצקי, לייב"
1949,יידיש בוך,לאדזש,משלים בוך,"אליצקי, לייב"
1967,,תל אביב,געקליבענע לידער,"אליצקי, לייב"
1949,,בוענאס איירעס,דורך טויט צום לעבן,"אליצקי, לייב"
1947,דאס נייע לעבן,לאדזש,דער מענטש וועט גוט זיין (משלים),"אליצקי, לייב"
1973,על המפתן,תל אביב,וואלינער יידן. ראמאן,"אליצקי, לייב"
1967,,תל אביב,וואר און ווערן,"אליצקי, לייב"
1956,יידיש בוך,ווארשע,זאגט די וועלט א משל,"אליצקי, לייב"
1968,י.ל.פרץ,תל אביב,ישיבה-לייט,"אליצקי, לייב"
,ספרית סבא,תל אביב,לבן בצה'ל,"אליצקי, לייב"
1964,נחמני,תל אביב,"לידער צו א ברודער, תל אביב, 1964","אליצקי, לייב"
1952,יידיש בוך,ווארשע,מיטן פנים צו דער זון,"אליצקי, לייב"
1960,י. ל. פרץ,תל אביב,מיין הארץ-רייזע,"אליצקי, לייב"
1958,יידיש בוך,ווארשע,מענטשן פון מיין שטעטל,"אליצקי, לייב"
1957,יידיש בוך,ווארשע,פאלקסטימלעכע באלאדן,"אליצקי, לייב"
1976,ישראל בוך,תל אביב,פון דער היים און פון דער פרעמד,"אליצקי, לייב"
1950,יידיש בוך,ווארשע,פון קרילאווס משלים,"אליצקי, לייב"
1948,עשוועגע,דייטשלאנד,אין פרעמדן לאנד,"אליצקי, מ"
1974,,ניו יארק,לידער פאר יוגנט,"אליצקי, מ"
1980,ישראל בוך,תל אביב,לידער פון פריער און פון איצט,"אליצקי, מ"
1962,ארבעטער רינג,ניו יארק,פריילעכע טעג.,"אליצקין, מ"
1943,א קאמיטעט,ניו יארק,די אונטערערדישע מלחמה אין אייראפע.,"אלמאזאוו, ש"
1947,איקוף,ניו יארק,מיט דעם ווארט צום פאלק,"אלמאזאוו, ש"
1947,איקוף,ניו יארק,מיט דעם ווארט צום פאלק.,"אלמאזאוו, ש"
1984,,בוענאס איירעס,געשיכטע פון א לעבן. א טיפער אריינבליר,"אלמוגי, יוסף"
1966,י. ל. פרץ,תל אביב,Letste gezangen. SHUROT AHARONOT,"אלמי, א"
1957,יידישער ראציאנאליסטישער געזעלשאפט,בוענאס איירעס,אין געראנגל פון אידייען,"אלמי, א"
1924,פארלאג פנחס גראובארד,ווארשע,אין עליאש'ס קיניגרייך,"אלמי, א"
1923,עכא,ניו יארק,ביי די ראנד,"אלמי, א"
1943,שרייבער פארלאג,ניו יארק,געזאנג און געוויין,"אלמי, א"
1921,קאסמאס,ניו יארק,די צווייטע עקזיסטענץ,"אלמי, א"
1959,,ניו יארק,חשבון און סך-הכל,"אלמי, א"
1954,ווארשעווער און פראגער יידן אין ארגענטינע,בוענאס איירעס,לעצטע געזאנגען,"אלמי, א"
1927,,ווארשע,פאר די ליכט. לידער,"אלמי, א"
1947,דער עמעס,מאסקווע,אשערל און זיינע פריינט,"אלעווסקי, בוזי"
1979,,תל אביב,אויף פרעמדער ערד,"אלעי, אליעזר"
1967,,תל אביב,גארבער גאס,"אלעי, אליעזר"
1959,,תל אביב,די שטוב: נאוועלן,"אלעי, אליעזר"
1977,,תל אביב,ירושה פון דורות,"אלעי, אליעזר"
1947,דער אמת,מאסקווע,י. וו. סטאלין,"אלעקסאנדראוו, ג פ (רעד)"
,ש. שרעבערק,ווארשע,מעשה אלפס. 1-5. א ווירקליכע הערצליכע ליבע,"אלפס, בן-ציון"
1980,ארגון יוצאי גורזד בישראל,תל אביב,ספר גורזד (ליטא).,"אלפעראוויטש, יצחק"
1965,הספריה הציונית,ירושלים,פון הערצלס טאגביכער.,"אלפערין, א. (רעד)"
1972,,ישראל,אונטער פרעמדע און אייגענע הימלען,"אלפערין, מנוחה"
1967,ייווא,בוענאס איירעס,אין ארגענטינע,"אלפערסאן, מרדכי"
1947,איקוף,ניו יארק,די מלחמה אין מידלוויל,"אלקאן, י"
1962,י. ל. פרץ,תל אביב,דראמאטישע ווערק,"אלקאן, י"
1947,איקוף,ניו יארק,די מלחמה אין מידלווייל,"אלקאן, יהשוה"
1964,,ניו יארק,לידער,"אלקוויט-בלום, ב"
1969,,תל אביב,איז געווען א מענטש,"אלתר, רחל"
1956,איקוף,בוענאס איירעס,אינעם מאלכעס פון קאקאא,"אמאדא, זשארזשע"
1928,פארלאג אנ-סקי,ווארשע,גאזאמלטע שריפטן.,"אנ-סקי, ש"
1921,פארלאג אנ-סקי,ווארשע,גאזאמלטע שריפטן.,"אנ-סקי, ש"
1923,פארלאג אנ-סקי,ווארשע,גאזאמלטע שריפטן.,"אנ-סקי, ש"
1922,פארלאג אנ-סקי,ווארשע,גאזאמלטע שריפטן. הומארעסקן און לידער,"אנ-סקי, ש"
1921,פארלאג אנ-סקי,ווארשע,גאזאמלטע שריפטן. חורבן גאליציע,"אנ-סקי, ש"
1922,פארלאג אנ-סקי,ווארשע,גאזאמלטע שריפטן. נאוועלן,"אנ-סקי, ש"
1922,פארלאג אנ-סקי,ווילנע-ווארשע-ניו יארק,געזאמלטע שריפטן,"אנ-סקי, ש"
